"certificate_number"@;@"inn"@;@"product_name"@;@"tnved_code"@;@"localization_rate"@;@"enkt_code"@;@"manufacture_power_yearly"@;@"unit_type_name"
"532050011806"@;@"200663071"@;@Муфта в сборе@;@"8483608009"@;@88,6@;@"24.10.23.190-00001"@;@384@;@шт
"539050156702"@;@"200811551"@;@Фиксанал натрий гидроокись@;@"2815120000"@;@74@;@"21.20.40.110-00032"@;@12 000@;@пач
"539050156701"@;@"200811551"@;@Натрий гидроокись - титрованный раствор@;@"2815120000"@;@100@;@"21.20.40.110-00032"@;@1 500@;@т
"539050156602"@;@"200811551"@;@Натрий гидроокись@;@"2815110000"@;@90@;@"20.13.25.111-00002"@;@1 500@;@т
"539050156601"@;@"200811551"@;@Натрий гидроокись@;@"2815110000"@;@90@;@"20.13.25.111-00002"@;@1 500@;@т
"509050119401"@;@"204255386"@;@Шайба@;@"7318220008"@;@7,69@;@"25.94.12.110-00002"@;@1 000@;@шт.
"509050119301"@;@"204255386"@;@Гайка@;@"7318169900"@;@13,41@;@"25.94.11.130-00001"@;@1 000@;@шт.
"509050115601"@;@"301581718"@;@Қўл тормози (Тормоз стояночный)@;@"8607290000"@;@86,08@;@"29.32.30.136-00007"@;@30 000@;@шт
"509050119201"@;@"204255386"@;@Мурват (болт)@;@"7318157008"@;@13,41@;@"25.94.11.110-00001"@;@1 000@;@шт.
"509050114902"@;@"301581718"@;@Учбурчакли осма таянч (Подвес треугольный)@;@"7308909809"@;@53,01@;@"27.33.13.190-00008"@;@30 000@;@шт
"509050119101"@;@"204255386"@;@Металл винт@;@"7318155900"@;@13,92@;@"25.94.11.110-00018"@;@1 000@;@шт.
"509050114901"@;@"301581718"@;@Учбурчакли осма таянч (Подвес треугольный)@;@"7308909809"@;@53,01@;@"27.33.13.190-00008"@;@30 000@;@шт
"509050120201"@;@"312347731"@;@Жалюзи пардалари@;@"6303929000"@;@46,3@;@"13.92.22.120-00001"@;@5 000@;@кв.метр
"509050118902"@;@"204255386"@;@Траверса учун металл қисқич@;@"7308909809"@;@11,61@;@"25.94.12.190-00009"@;@2 000@;@шт.
"509050117902"@;@"307990655"@;@Анкер блок@;@"7308909809"@;@5,23@;@"25.11.23.119-00065"@;@5 000@;@шт.
"509050117901"@;@"307990655"@;@Анкер блок@;@"7308909809"@;@23,59@;@"25.11.23.119-00065"@;@5 000@;@шт.
"539050156501"@;@"200811551"@;@Аммиак водный@;@"2814200000"@;@100@;@"20.59.52.194-00336"@;@1 500@;@т
"539050156302"@;@"200811551"@;@Хлорная кислота@;@"2811198000"@;@47@;@"20.13.24.149-00004"@;@1 500@;@т
"539050156301"@;@"200811551"@;@Сульфаминовая кислота@;@"2811198000"@;@62@;@"20.14.32.290-00001"@;@1 500@;@т
"539050156101"@;@"200811551"@;@Кислота фтористоводородная@;@"2811110000"@;@51@;@"20.13.24.141-00001"@;@1 500@;@т
"515050017005"@;@"302897568"@;@Filtrmato (belting  Art. 2030) eni-140+-5sm,zichligi - 930 +-5 gr/m2@;@"5911400000"@;@33,3@;@"13.96.16.170-00001"@;@672 000@;@пог. метр
"508050054101"@;@"300369838"@;@Шахтная подьемной машина@;@"8425390005"@;@41@;@"28.22.12.110-00001"@;@12@;@штук
"515050017004"@;@"302897568"@;@Filtrmato (belting  Art. 2030) eni-110+-5sm,zichligi - 930 +-5 gr/m2@;@"5911400000"@;@33,2@;@"13.96.16.170-00001"@;@672 000@;@пог. метр
"515050017003"@;@"302897568"@;@Filtrmato (belting  Art. 2030) eni - 100+-5sm,zichligi - 930 +-5 gr/m2@;@"5911400000"@;@33,3@;@"13.96.16.170-00001"@;@672 000@;@пог. метр
"515050017002"@;@"302897568"@;@Filtrmato (belting  Art. 2030) eni- 84+-5sm,zichligi - 930 +-5 gr/m2@;@"5911400000"@;@33,3@;@"13.96.16.170-00001"@;@672 000@;@пог. метр
"515050016901"@;@"302897568"@;@MatoFiltrdiagonal,Oqartirilmagan 100% paxtatolasi, eni -110+-2 sm,Zichlik– 575+-25g/m2.@;@"5911901000"@;@33,1@;@"13.96.16.170-00001"@;@672 000@;@пог. метр
"515050016801"@;@"302897568"@;@Choyshablar@;@"6302910000"@;@33,3@;@"13.92.12.119-00001"@;@672 000@;@пог. метр
"509050118901"@;@"204255386"@;@Электр узатиш линиялари учун траверса@;@"7308909809"@;@7,99@;@"25.11.23.115-00001"@;@150@;@шт.
"515050016701"@;@"302897568"@;@Tent xarxilo’lchamdabrezentmatosidan@;@"6306190000"@;@33,1@;@"13.92.22.140-00001"@;@672 000@;@пог. метр
"515050016605"@;@"302897568"@;@Filtrmato (belting  Art. 2030) eni-140+-5sm,zichligi - 930 +-5 gr/m2@;@"5911200000"@;@33,4@;@"13.96.16.170-00001"@;@672 000@;@пог. метр
"511050033501"@;@"300988431"@;@Брошюра@;@"4901100000"@;@60,24@;@"58.11.19.000-00005"@;@144 000@;@шт
"509050119001"@;@"204255386"@;@Металл таянч@;@"7308200000"@;@4,3@;@"25.11.22.110-00001"@;@50@;@шт.
"515050016604"@;@"302897568"@;@Filtrmato (belting  Art. 2030) eni-110+-5sm,zichligi - 930 +-5 gr/m2@;@"5911200000"@;@33,4@;@"13.96.16.170-00001"@;@672 000@;@пог. метр
"515050016603"@;@"302897568"@;@Filtrmato (belting  Art. 2030) eni-100+-5sm,zichligi - 930 +-5 gr/m2@;@"5911200000"@;@33,4@;@"13.96.16.170-00001"@;@672 000@;@пог. метр
"515050016602"@;@"302897568"@;@Filtrmato (belting Art. 2030) eni- 84+-5sm,zichligi- 930 +-5 gr/m2@;@"5911200000"@;@33,1@;@"13.96.16.170-00001"@;@672 000@;@пог. метр
"515050016601"@;@"302897568"@;@Filtrmato (beltingArt. 2030) eni- 65+-5sm,zichligi - 930 +-5 gr/m2@;@"5911200000"@;@33,4@;@"13.96.16.170-00001"@;@672 000@;@пог. метр
"515050016401"@;@"302897568"@;@Netkanka matosi (netkannoe polotno)eni- 140+-5 sm, zichlik 150+5g/m2@;@"5603949000"@;@33,1@;@"13.95.10.110-00001"@;@672 000@;@пог. метр
"539050164603"@;@"301164372"@;@Палатка@;@"6306290001"@;@60@;@"13.92.22.150-00001"@;@1 200@;@комплект
"539050164602"@;@"301164372"@;@Палатка@;@"6306290001"@;@63@;@"13.92.22.150-00001"@;@1 200@;@комплект
"503050034902"@;@"303115637"@;@Кресло (айланувчи)@;@"9401390000"@;@37@;@"31.01.11.150-00006"@;@312@;@шт.
"503050034901"@;@"303115637"@;@Кресло офисное@;@"9401390000"@;@37@;@"31.01.11.150-00006"@;@312@;@шт.
"539050164601"@;@"301164372"@;@Палатка@;@"6306290001"@;@64@;@"13.92.22.150-00001"@;@1 200@;@комплект
"506050029502"@;@"310170694"@;@Рангли реклама варақаси (Флаер)@;@"4911109000"@;@35,9@;@"58.19.19.190-00014"@;@156 000@;@шт.
"521050004502"@;@"301012062"@;@Икки уриндикли укувчилар столи ва стули (металл каркасли )@;@"9403105100"@;@39,19@;@"31.01.12.122-00002"@;@32 400@;@комп
"521050004501"@;@"301012062"@;@Бир уринли укувчилар столи ва стули (металл каркасли )@;@"9403105100"@;@42,29@;@"31.01.12.122-00005"@;@32 400@;@комп
"539050169701"@;@"302846740"@;@Смесь асфальтобетонная горячая крупнозернистая пористая@;@"2715000000"@;@42,5@;@"23.99.13.000-00001"@;@360 000@;@т
"515050016301"@;@"302897568"@;@Netkanka matosi (netkannoe polotno)eni 140+-5 sm, zichlik 135+5g/m2@;@"5603939000"@;@33,2@;@"13.10.61.190-00001"@;@672 000@;@кг
"521050005101"@;@"301153196"@;@Ёглиги 40% булган эритилган дудланган колбасасимон пишлоқ@;@"0406303100"@;@96,19@;@"10.51.40.100-00002"@;@120 000@;@кг
"506050029501"@;@"310170694"@;@Реклама баннери@;@"4911109000"@;@37,25@;@"18.12.12.000-00002"@;@5 376@;@кв. метр
"515050016101"@;@"302897568"@;@Lavsanmatosi,oqartirilgan,tarkibi: sintetik tolalardan 80%, paxta tolasi 20%, eni-150+-2sm, zichligi -120+-5gr/m2@;@"5515111000"@;@33,1@;@"13.20.20.119-00001"@;@672 000@;@пог. метр
"515050016001"@;@"302897568"@;@Diagonal mato, tarkibi 80% polyester tola, 20% paxtatolasi,  zichlik  240+-5 g/m2, eni-150 sm@;@"5514210000"@;@33,1@;@"13.20.20.119-00001"@;@672 000@;@пог. метр
"515050015904"@;@"302897568"@;@Poplin mato, tarkibi:  90% paxta 10% sintetik mato, zichligi – 140+-10 g/m2, mato eni -240+-10 sm@;@"5212159000"@;@33,2@;@"13.20.20.112-00001"@;@672 000@;@пог. метр
"515050015903"@;@"302897568"@;@MatoBo’zgagulyokiboshqaturdagishakilbosilgan kompozitsion paxta va aralash mato, zichligi – 150+-5 g/m2, mato eni – 150+-5 sm@;@"5212159000"@;@33,2@;@"13.20.20.112-00001"@;@672 000@;@пог. метр
"515050015902"@;@"302897568"@;@MatoBo’zgagul yokiboshqaturdagishakilbosilgan kompozitsion paxta va aralash mato, zichligi – 120+-5 g/m, mato eni – 150+-5 sm@;@"5212159000"@;@33,1@;@"13.20.20.112-00001"@;@672 000@;@пог. метр
"515050015901"@;@"302897568"@;@Suprem matosi 100%  paxta gul yokiboshqaturdagishakilbosilganzichligi-100-130 gr/m2, eni- 90-110 sm.@;@"5212159000"@;@33,3@;@"13.20.20.112-00001"@;@672 000@;@пог. метр
"515050015801"@;@"302897568"@;@Bo’zmatosi, Oqartirilgan,100% paxtatolasi, eni- 150+-5 sm, zichlik- 120+-5g/m2@;@"5212129000"@;@33,3@;@"13.20.20.129-00003"@;@672 000@;@пог. метр
"515050015601"@;@"302897568"@;@MatoDiagonal bo'yalgan 100% paxta tolasi eni- 150+-5sm, zichligi 240+-5gr/m2@;@"5209490000"@;@33,5@;@"13.20.20.112-00001"@;@672 000@;@пог. метр
"539050158802"@;@"200811551"@;@Фиксанал Аммоний хлористый@;@"2827100000"@;@73@;@"20.59.52.191-00001"@;@12 000@;@пач
"539050158801"@;@"200811551"@;@Аммоний хлористый@;@"2827100000"@;@100@;@"20.59.52.194-00047"@;@1 500@;@т
"515050015502"@;@"302897568"@;@MatoDiagonal 100% paxta, bo'yalgan, eni-220+-2sm, zichlik 2405g/m2@;@"5209410000"@;@33,2@;@"13.20.20.112-00001"@;@672 000@;@пог. метр
"515050015406"@;@"302897568"@;@MatoDiagonal 100% paxta, bo'yalgan, eni, sm- 150+-2 dan 220+-2sm gacha, zichlik- 240+-5g/m2 dan 300+-5g/m2 gacha@;@"5209310000"@;@33,1@;@"13.20.20.112-00001"@;@672 000@;@пог. метр
"515050015405"@;@"302897568"@;@Brezentsuvo’tkazmaydiganmato,  eni 220+-2 sm, zichlik 500+-5g/m2@;@"5209310000"@;@33,3@;@"13.92.22.110-00001"@;@672 000@;@пог. метр
"515050015301"@;@"302897568"@;@Mato Diagonal Oqartirilgan 100% paxta tolasi eni 150+-5sm zichligi 200+-5gr/m2@;@"5209210000"@;@33,3@;@"13.20.20.112-00001"@;@672 000@;@пог. метр
"515050015103"@;@"302897568"@;@Mato   Bo’zga gul yoki boshqa turdagi shakil bosilgan kompozitsion paxta va aralash mato zichligi - 1405 g/m mato eni - 1505 sm@;@"5208599000"@;@33,2@;@"13.20.20.112-00001"@;@672 000@;@пог. метр
"515050015102"@;@"302897568"@;@Mato   Bo’zga gul yoki boshqa turdagi shakil bosilgan kompozitsion paxta va aralash mato zichligi - 1205 g/m mato eni - 1505 sm@;@"5208599000"@;@33,1@;@"13.20.20.112-00001"@;@672 000@;@пог. метр
"515050015101"@;@"302897568"@;@Suprem matosi 100%  paxta gul yoki boshqa turdagi shakil bosilgan zichligi 100-130 gr/m.,  eni  90-110 sm@;@"5208599000"@;@33,2@;@"13.20.20.112-00001"@;@672 000@;@пог. метр
"515050015002"@;@"302897568"@;@Mato   Bo’zga gul yoki boshqa turdagi shakil bosilgan   aralash mato  85%  paxta  15%  polyester  –zichligi 140 gr/m   mato eni - 1505 sm@;@"5208520000"@;@33,2@;@"13.20.20.129-00004"@;@672 000@;@пог. метр
"513050044803"@;@"309645789"@;@Курпа парлик@;@"9404400001"@;@18@;@"13.92.11.110-00001"@;@20 000@;@шт
"515050014801"@;@"302897568"@;@Astarli mato 100% paxta tolasi zichligi 120+-2g/m2, eni 150+-2sm, bo'yalgan@;@"5208490000"@;@33,3@;@"13.20.20.112-00001"@;@672 000@;@пог. метр
"539050156201"@;@"305657214"@;@"Консервы мясные ""Говядина тушеная"" 1/325 г, в/с"@;@"1602509501"@;@89,3@;@"10.13.15.110-00001"@;@125@;@т
"515050014501"@;@"302897568"@;@Buralgan ip (shpagat)@;@"5206340008"@;@33,4@;@"13.10.61.190-00001"@;@672 000@;@кг
"515050014401"@;@"302897568"@;@Пряжа@;@"5206340002"@;@33,4@;@"13.10.61.190-00001"@;@672 000@;@кг
"513050044802"@;@"309645789"@;@Курпа пахталик@;@"9404400009"@;@17@;@"13.92.11.110-00001"@;@20 000@;@шт
"503050034801"@;@"312046394"@;@Кровать для детей из ЛДСП и МДФ@;@"9403500000"@;@40@;@"31.09.12.122-00001"@;@1 700@;@шт
"503050034701"@;@"312046394"@;@Стол типа кухонный@;@"9403301900"@;@59@;@"31.02.10.110-00001"@;@2 700@;@шт
"503050034601"@;@"312046394"@;@Стул деревянный@;@"9401690000"@;@57@;@"31.01.12.160-00001"@;@2 700@;@шт
"514050052103"@;@"308271149"@;@Кровать медицинская@;@"9403500000"@;@30,65@;@"21.31.17.190-00002"@;@50@;@шт
"513050038401"@;@"307441997"@;@ISUZU NQR 71 PL шассиси асосидаги мобил рентген мажмуаси (Мобильный рентгенологический комплекс на базе шасси ISUZU NQR 71 PL)@;@"8705908005"@;@67,24@;@"29.10.59.170-00001"@;@4@;@шт
"529050026409"@;@"310242818"@;@Bolalar choyshablar to'plami (Sаtin)@;@"6302210000"@;@96@;@"13.92.12.194-00001"@;@6 000@;@комплект
"529050026408"@;@"310242818"@;@Ikki kishi uchun choyshab to'plami (Sаtin)@;@"6302210000"@;@98@;@"13.92.12.194-00001"@;@6 000@;@комплект
"529050026407"@;@"310242818"@;@Bir kishi uchun choyshab to'plami (Sаtin)@;@"6302210000"@;@99@;@"13.92.12.194-00001"@;@6 000@;@комплект
"529050026406"@;@"310242818"@;@Bolalar choyshablar to'plami (Paplen)@;@"6302210000"@;@97@;@"13.92.12.194-00001"@;@6 000@;@комплект
"529050026405"@;@"310242818"@;@Ikki kishilik choyshab to'plami (Paplen)@;@"6302210000"@;@97@;@"13.92.12.194-00001"@;@6 000@;@комплект
"529050026404"@;@"310242818"@;@Bir kishilik choyshab to'plami (Paplen)@;@"6302210000"@;@97@;@"13.92.12.194-00001"@;@6 000@;@комплект
"529050026403"@;@"310242818"@;@Bolalar choyshablar to'plami (X/b)@;@"6302210000"@;@97@;@"13.92.12.194-00001"@;@6 000@;@комплект
"529050026402"@;@"310242818"@;@Bir kishilik choyshab to'plami (X/b)@;@"6302210000"@;@97@;@"13.92.12.194-00001"@;@6 000@;@комплект
"529050026401"@;@"310242818"@;@Ikki kishilik choyshab to'plami (X/b)@;@"6302210000"@;@96@;@"13.92.12.194-00001"@;@6 000@;@комплект
"539050170301"@;@"304983135"@;@Комплектное распредительное устройство типа КРУН@;@"8537209200"@;@32,3@;@"27.12.10.190-00008"@;@115@;@шт
"529050026801"@;@"310242818"@;@Parda@;@"6303120000"@;@42@;@"13.92.15.120-00001"@;@6 000@;@штук
"510050052901"@;@"304321032"@;@Респиратор@;@"6307901000"@;@22,59@;@"32.99.11.120-00001"@;@498 000@;@шт
"539050170902"@;@"310523142"@;@Трансформатор@;@"8504229000"@;@56,59@;@"27.11.42.000-00002"@;@2 000@;@шт.
"539050170901"@;@"310523142"@;@Трансформатор@;@"8504229000"@;@63,75@;@"27.11.42.000-00002"@;@2 000@;@шт.
"539050170803"@;@"310523142"@;@Трансформатор@;@"8504221000"@;@65,21@;@"27.11.42.000-00002"@;@2 000@;@шт.
"534050003901"@;@"305640387"@;@Пичоғларни ўрнатиш болти@;@"7318155900"@;@53,76@;@"25.94.11.110-00008"@;@10 000@;@кг
"539050169301"@;@"301552261"@;@Гипохлорит натрия 12%@;@"2828900000"@;@57@;@"20.59.52.199-00001"@;@401 500@;@кг
"516050008906"@;@"308686572"@;@Спецодежда защитная@;@"6114300000"@;@88@;@"14.12.11.110-00001"@;@30 000@;@шт.
"516050008905"@;@"308686572"@;@Спецодежда защитная зимняя@;@"6114300000"@;@88@;@"14.12.11.110-00001"@;@30 000@;@шт.
"516050008904"@;@"308686572"@;@Спецодежда защитная демисезонная@;@"6114300000"@;@86@;@"14.12.11.110-00001"@;@30 000@;@шт.
"516050008901"@;@"308686572"@;@Форменная одежда демисезонная@;@"6114300000"@;@86@;@"14.12.11.110-00001"@;@30 000@;@шт.
"515050014904"@;@"301464560"@;@Tpубa@;@"3917390008"@;@43,9@;@"23.99.19.190-00003"@;@1 900@;@метр
"521050004901"@;@"305995333"@;@Суюқ совун@;@"3401209000"@;@39,67@;@"20.41.31.130-00001"@;@50 080@;@кг
"515050014903"@;@"301464560"@;@Tpубa@;@"3917390008"@;@56,8@;@"23.99.19.190-00003"@;@1 800@;@метр
"515050014902"@;@"301464560"@;@Tpубa@;@"3917390008"@;@61,5@;@"23.99.19.190-00003"@;@1 700@;@метр
"515050014901"@;@"301464560"@;@Tpубa@;@"3917390008"@;@65,2@;@"23.99.19.190-00003"@;@1 500@;@метр
"539050170802"@;@"310523142"@;@Трансформатор@;@"8504221000"@;@57,87@;@"27.11.42.000-00002"@;@2 000@;@шт.
"539050170801"@;@"310523142"@;@Трансформатор@;@"8504221000"@;@58,03@;@"27.11.42.000-00002"@;@2 000@;@шт.
"528050023002"@;@"311809021"@;@Брусчатка@;@"6810190001"@;@100@;@"23.69.19.000-00001"@;@9 000 000@;@шт
"539050170707"@;@"310523142"@;@Трансформатор@;@"8504210000"@;@53,36@;@"27.11.42.000-00002"@;@2 000@;@шт.
"534050003601"@;@"305640387"@;@Gaykali  boltlar, buldozerlarning burchak pichoqlarini mahkamlash uchun@;@"7318158900"@;@53,76@;@"25.94.11.110-00002"@;@10 000@;@кг
"539050170706"@;@"310523142"@;@Трансформатор@;@"8504210000"@;@57,08@;@"27.11.42.000-00002"@;@2 000@;@шт.
"539050170705"@;@"310523142"@;@Трансформатор@;@"8504210000"@;@57,14@;@"27.11.42.000-00002"@;@2 000@;@шт.
"539050170704"@;@"310523142"@;@Трансформатор@;@"8504210000"@;@58,28@;@"27.11.42.000-00002"@;@2 000@;@шт.
"539050170703"@;@"310523142"@;@Трансформатор@;@"8504210000"@;@59,34@;@"27.11.42.000-00002"@;@2 000@;@шт.
"539050170702"@;@"310523142"@;@Трансформатор@;@"8504210000"@;@58,52@;@"27.11.42.000-00002"@;@2 000@;@шт.
"511050033301"@;@"307120526"@;@PCBN /CBN пластины из поликристаллический кубический нитрид бора@;@"8209008000"@;@9@;@"25.73.40.276-00001"@;@6 240@;@шт
"539050170701"@;@"310523142"@;@Трансформатор@;@"8504210000"@;@60,11@;@"27.11.42.000-00002"@;@2 000@;@шт.
"539050171101"@;@"204447012"@;@Badiiy adabiyot@;@"4901990000"@;@30@;@"58.11.13.000-00001"@;@1 000@;@шт
"539050171101"@;@"204447012"@;@Badiiy adabiyot@;@"4901990000"@;@30@;@"58.11.13.000-00001"@;@1 000@;@шт
"539050171101"@;@"204447012"@;@Badiiy adabiyot@;@"4901990000"@;@30@;@"58.11.13.000-00001"@;@1 000@;@шт
"539050171101"@;@"204447012"@;@Badiiy adabiyot@;@"4901990000"@;@30@;@"58.11.13.000-00001"@;@1 000@;@шт
"539050171101"@;@"204447012"@;@Badiiy adabiyot@;@"4901990000"@;@30@;@"58.11.13.000-00001"@;@1 000@;@шт
"539050171101"@;@"204447012"@;@Badiiy adabiyot@;@"4901990000"@;@30@;@"58.11.13.000-00001"@;@1 000@;@шт
"539050171101"@;@"204447012"@;@Badiiy adabiyot@;@"4901990000"@;@30@;@"58.11.13.000-00001"@;@1 000@;@шт
"539050171101"@;@"204447012"@;@Badiiy adabiyot@;@"4901990000"@;@30@;@"58.11.13.000-00001"@;@1 000@;@шт
"539050171101"@;@"204447012"@;@Badiiy adabiyot@;@"4901990000"@;@30@;@"58.11.13.000-00001"@;@1 000@;@шт
"539050171101"@;@"204447012"@;@Badiiy adabiyot@;@"4901990000"@;@30@;@"58.11.13.000-00001"@;@1 000@;@шт
"539050171101"@;@"204447012"@;@Badiiy adabiyot@;@"4901990000"@;@30@;@"58.11.13.000-00001"@;@1 000@;@шт
"539050171101"@;@"204447012"@;@Badiiy adabiyot@;@"4901990000"@;@30@;@"58.11.13.000-00001"@;@1 000@;@шт
"539050171101"@;@"204447012"@;@Badiiy adabiyot@;@"4901990000"@;@30@;@"58.11.13.000-00001"@;@1 000@;@шт
"539050171101"@;@"204447012"@;@Badiiy adabiyot@;@"4901990000"@;@30@;@"58.11.13.000-00001"@;@1 000@;@шт
"539050171101"@;@"204447012"@;@Badiiy adabiyot@;@"4901990000"@;@30@;@"58.11.13.000-00001"@;@1 000@;@шт
"539050171101"@;@"204447012"@;@Badiiy adabiyot@;@"4901990000"@;@30@;@"58.11.13.000-00001"@;@1 000@;@шт
"539050171101"@;@"204447012"@;@Badiiy adabiyot@;@"4901990000"@;@30@;@"58.11.13.000-00001"@;@1 000@;@шт
"539050171101"@;@"204447012"@;@Badiiy adabiyot@;@"4901990000"@;@30@;@"58.11.13.000-00001"@;@1 000@;@шт
"539050171101"@;@"204447012"@;@Badiiy adabiyot@;@"4901990000"@;@30@;@"58.11.13.000-00001"@;@1 000@;@шт
"539050171101"@;@"204447012"@;@Badiiy adabiyot@;@"4901990000"@;@30@;@"58.11.13.000-00001"@;@1 000@;@шт
"539050171101"@;@"204447012"@;@Badiiy adabiyot@;@"4901990000"@;@30@;@"58.11.13.000-00001"@;@1 000@;@шт
"539050171101"@;@"204447012"@;@Badiiy adabiyot@;@"4901990000"@;@30@;@"58.11.13.000-00001"@;@1 000@;@шт
"539050171101"@;@"204447012"@;@Badiiy adabiyot@;@"4901990000"@;@30@;@"58.11.13.000-00001"@;@1 000@;@шт
"539050171101"@;@"204447012"@;@Badiiy adabiyot@;@"4901990000"@;@30@;@"58.11.13.000-00001"@;@1 000@;@шт
"539050171101"@;@"204447012"@;@Badiiy adabiyot@;@"4901990000"@;@30@;@"58.11.13.000-00001"@;@1 000@;@шт
"539050171101"@;@"204447012"@;@Badiiy adabiyot@;@"4901990000"@;@30@;@"58.11.13.000-00001"@;@1 000@;@шт
"539050171101"@;@"204447012"@;@Badiiy adabiyot@;@"4901990000"@;@30@;@"58.11.13.000-00001"@;@1 000@;@шт
"539050171101"@;@"204447012"@;@Badiiy adabiyot@;@"4901990000"@;@30@;@"58.11.13.000-00001"@;@1 000@;@шт
"539050171101"@;@"204447012"@;@Badiiy adabiyot@;@"4901990000"@;@30@;@"58.11.13.000-00001"@;@1 000@;@шт
"539050171101"@;@"204447012"@;@Badiiy adabiyot@;@"4901990000"@;@30@;@"58.11.13.000-00001"@;@1 000@;@шт
"539050171101"@;@"204447012"@;@Badiiy adabiyot@;@"4901990000"@;@30@;@"58.11.13.000-00001"@;@1 000@;@шт
"539050171101"@;@"204447012"@;@Badiiy adabiyot@;@"4901990000"@;@30@;@"58.11.13.000-00001"@;@1 000@;@шт
"539050171101"@;@"204447012"@;@Badiiy adabiyot@;@"4901990000"@;@30@;@"58.11.13.000-00001"@;@1 000@;@шт
"539050171101"@;@"204447012"@;@Badiiy adabiyot@;@"4901990000"@;@30@;@"58.11.13.000-00001"@;@1 000@;@шт
"539050171101"@;@"204447012"@;@Badiiy adabiyot@;@"4901990000"@;@30@;@"58.11.13.000-00001"@;@1 000@;@шт
"539050171101"@;@"204447012"@;@Badiiy adabiyot@;@"4901990000"@;@30@;@"58.11.13.000-00001"@;@1 000@;@шт
"539050171101"@;@"204447012"@;@Badiiy adabiyot@;@"4901990000"@;@30@;@"58.11.13.000-00001"@;@1 000@;@шт
"539050171101"@;@"204447012"@;@Badiiy adabiyot@;@"4901990000"@;@30@;@"58.11.13.000-00001"@;@1 000@;@шт
"539050171101"@;@"204447012"@;@Badiiy adabiyot@;@"4901990000"@;@30@;@"58.11.13.000-00001"@;@1 000@;@шт
"539050171101"@;@"204447012"@;@Badiiy adabiyot@;@"4901990000"@;@30@;@"58.11.13.000-00001"@;@1 000@;@шт
"539050171101"@;@"204447012"@;@Badiiy adabiyot@;@"4901990000"@;@30@;@"58.11.13.000-00001"@;@1 000@;@шт
"539050171101"@;@"204447012"@;@Badiiy adabiyot@;@"4901990000"@;@30@;@"58.11.13.000-00001"@;@1 000@;@шт
"539050171101"@;@"204447012"@;@Badiiy adabiyot@;@"4901990000"@;@30@;@"58.11.13.000-00001"@;@1 000@;@шт
"539050171101"@;@"204447012"@;@Badiiy adabiyot@;@"4901990000"@;@30@;@"58.11.13.000-00001"@;@1 000@;@шт
"539050171101"@;@"204447012"@;@Badiiy adabiyot@;@"4901990000"@;@30@;@"58.11.13.000-00001"@;@1 000@;@шт
"539050171101"@;@"204447012"@;@Badiiy adabiyot@;@"4901990000"@;@30@;@"58.11.13.000-00001"@;@1 000@;@шт
"539050171101"@;@"204447012"@;@Badiiy adabiyot@;@"4901990000"@;@30@;@"58.11.13.000-00001"@;@1 000@;@шт
"539050171101"@;@"204447012"@;@Badiiy adabiyot@;@"4901990000"@;@30@;@"58.11.13.000-00001"@;@1 000@;@шт
"539050171101"@;@"204447012"@;@Badiiy adabiyot@;@"4901990000"@;@30@;@"58.11.13.000-00001"@;@1 000@;@шт
"539050171101"@;@"204447012"@;@Badiiy adabiyot@;@"4901990000"@;@30@;@"58.11.13.000-00001"@;@1 000@;@шт
"539050171101"@;@"204447012"@;@Badiiy adabiyot@;@"4901990000"@;@30@;@"58.11.13.000-00001"@;@1 000@;@шт
"539050171101"@;@"204447012"@;@Badiiy adabiyot@;@"4901990000"@;@30@;@"58.11.13.000-00001"@;@1 000@;@шт
"539050171101"@;@"204447012"@;@Badiiy adabiyot@;@"4901990000"@;@30@;@"58.11.13.000-00001"@;@1 000@;@шт
"539050171101"@;@"204447012"@;@Badiiy adabiyot@;@"4901990000"@;@30@;@"58.11.13.000-00001"@;@1 000@;@шт
"539050171101"@;@"204447012"@;@Badiiy adabiyot@;@"4901990000"@;@30@;@"58.11.13.000-00001"@;@1 000@;@шт
"539050171101"@;@"204447012"@;@Badiiy adabiyot@;@"4901990000"@;@30@;@"58.11.13.000-00001"@;@1 000@;@шт
"539050171101"@;@"204447012"@;@Badiiy adabiyot@;@"4901990000"@;@30@;@"58.11.13.000-00001"@;@1 000@;@шт
"539050171101"@;@"204447012"@;@Badiiy adabiyot@;@"4901990000"@;@30@;@"58.11.13.000-00001"@;@1 000@;@шт
"503050034401"@;@"303115637"@;@Ёзув Столи@;@"9403301100"@;@34@;@"31.01.10.000-00001"@;@2 496@;@шт.
"503050034301"@;@"200248856"@;@Провода для щеток электрических машин@;@"7413000004"@;@100@;@"27.32.13.135-00001"@;@19 200@;@кг
"507050029402"@;@"300267750"@;@Папка для бумаг@;@"4820300000"@;@86,36@;@"17.23.13.193-00005"@;@200 000@;@штук
"507050029401"@;@"300267750"@;@Дело скоросшиватель@;@"4820300000"@;@84,64@;@"17.23.13.193-00005"@;@200 000@;@штук
"503050034201"@;@"310197382"@;@Поддон деревянный@;@"4415202000"@;@9@;@"16.24.11.110-00001"@;@240 000@;@шт.
"508050054801"@;@"300369838"@;@Электропривод@;@"8511900009"@;@50,1@;@"28.14.20.112-00001"@;@24@;@штук
"521050004410"@;@"301012062"@;@Маъруза зали учун мебел (металл каркасли)@;@"9401710009"@;@44,04@;@"31.01.11.150-00007"@;@14 400@;@шт
